word,predictor,coefficient,p_val,warnings_m1,warnings_m2
snow,avgmonth_tmp,-1.3091410849615033,2.891259737297204e-23,,
winter,avgmonth_tmp,-0.9442306508515985,1.2676220344688588e-16,,
summer,avgmonth_tmp,-0.7954288771144843,1.0495614991905774e-14,,
berry,avgmonth_tmp,-0.7414863123889756,2.4825039413079113e-9,,
ice,avgmonth_tmp,-0.7314582408548496,6.96835733817635e-11,,
seal,avgmonth_tmp,-0.5877903222907912,NA,,Model convergence problem; non-positive-definite Hessian matrix. See vignette('troubleshooting')
coat,avgmonth_tmp,-0.5674116040386641,2.5499714557857714e-8,,
kettle,avgmonth_tmp,-0.5308695998886946,3.827128368927825e-5,,
lake,avgmonth_tmp,-0.5272597490700194,1.256676760063362e-6,,
cliff,avgmonth_tmp,-0.5022008230039814,3.9619840382897186e-6,,
trail,avgmonth_tmp,-0.49247348493724674,8.702342727144694e-5,,
fur,avgmonth_tmp,-0.4877567051675996,4.907663477907229e-7,,
bay,avgmonth_tmp,-0.4866244012231217,0.0030733294774730633,,
tent,avgmonth_tmp,-0.4627606306939147,5.16049309906175e-5,,
translation,avgmonth_tmp,-0.45789708554292696,1.0982644398218545e-5,,
example,avgmonth_tmp,-0.44815378869966793,9.787792343266405e-4,,
pine,avgmonth_tmp,-0.4384091589643911,0.0011759103474854177,,
goose,avgmonth_tmp,-0.43660270539469825,1.0354450097703858e-4,,
moss,avgmonth_tmp,-0.4130555873638452,1.896279913944461e-4,,
text,avgmonth_tmp,-0.3987378662506394,0.010697882645363907,,
wool,avgmonth_tmp,-0.397980705643577,2.7567319316158356e-4,,
mountain,avgmonth_tmp,-0.39237004597706826,1.0674936028212015e-4,,
blanket,avgmonth_tmp,-0.3868273177715347,6.306968417313231e-4,,
fog,avgmonth_tmp,-0.3833145768827143,9.337618847533118e-8,,
horse,avgmonth_tmp,-0.3685001456797675,0.0017219689873661799,,
slope,avgmonth_tmp,-0.35624812501067193,4.8513205411812886e-4,,
garment,avgmonth_tmp,-0.34705875059988756,0.005981955788991859,,
board,avgmonth_tmp,-0.34465091864598774,2.409657886359964e-4,,
vocabulary,avgmonth_tmp,-0.3435219827330664,0.005730119146352858,,
spring,avgmonth_tmp,-0.3324372472083721,1.3238323744569964e-10,,
neglect,avgmonth_tmp,-0.3310515131904159,0.010083545987817728,,
sheep,avgmonth_tmp,-0.32976765128761315,0.0010112773942489253,,
slide,avgmonth_tmp,-0.32825664436326907,2.616645873380113e-4,,
weather,avgmonth_tmp,-0.32586528931371206,4.3936404818864886e-5,,
vowel,avgmonth_tmp,-0.32398117091405354,0.0018322855587145123,,
barrel,avgmonth_tmp,-0.32254333537791197,0.015657849850668447,,
syllable,avgmonth_tmp,-0.3204849806583656,0.013222471623459702,,
sewing,avgmonth_tmp,-0.3188659723713298,0.002956821218957263,,
braid,avgmonth_tmp,-0.31790686843651755,0.0027368451096695047,,
window,avgmonth_tmp,-0.2999039781483471,1.3069403229215684e-4,,
leather,avgmonth_tmp,-0.2982250164064595,0.0036781714151855344,,
pin,avgmonth_tmp,-0.29708005122663894,0.001449804315612319,,
dialect,avgmonth_tmp,-0.29561240454309035,0.020638593020496497,,
clothing,avgmonth_tmp,-0.2927468347373869,8.119846766986091e-4,,
grease,avgmonth_tmp,-0.2898479321626468,0.0032771339029139825,,
quiver,avgmonth_tmp,-0.28889623168410794,0.0028327192230016896,,
card,avgmonth_tmp,-0.28873714678351386,0.02387821184165854,,
candle,avgmonth_tmp,-0.28585643732075217,0.01356370292440477,,
fox,avgmonth_tmp,-0.28509800988746886,0.013093186756225925,,
valley,avgmonth_tmp,-0.28098992298122133,0.0011825219798965408,,
daughter-in-law,avgmonth_tmp,-0.28031795027779816,9.435025063100554e-4,,
index,avgmonth_tmp,-0.27992514290250264,0.011088157142079485,,
loss,avgmonth_tmp,-0.27902732009553277,0.004356054153400953,,
son-in-law,avgmonth_tmp,-0.2773879247593034,0.00130900528069948,,
dough,avgmonth_tmp,-0.27596355772634945,0.010163591016930557,,
arrow,avgmonth_tmp,-0.273375362787807,0.010583653784578236,,
nickname,avgmonth_tmp,-0.2713406334898276,0.017597069652900983,,
talk,avgmonth_tmp,-0.2711717093308652,0.01627997192255074,,
element,avgmonth_tmp,-0.27018880151690894,0.06160623893935049,,
squirrel,avgmonth_tmp,-0.2649360069248495,0.06049914919709398,,
mill,avgmonth_tmp,-0.26449770918813614,0.04285699069303427,,
collection,avgmonth_tmp,-0.2606810164816784,0.01179247825033204,,
strap,avgmonth_tmp,-0.26054377413850305,0.0017704517295073683,,
pronunciation,avgmonth_tmp,-0.25914612228469724,0.004314231686287098,,
beam,avgmonth_tmp,-0.25830222630635885,0.02089137486331173,,
train,avgmonth_tmp,-0.25528193529297083,NA,,Model convergence problem; non-positive-definite Hessian matrix. See vignette('troubleshooting')
wedge,avgmonth_tmp,-0.25070039397067045,0.010353690134308653,,
hail,avgmonth_tmp,-0.24743132765235715,0.0023560639981174826,,
doubt,avgmonth_tmp,-0.24349551454135182,0.004612134622169108,,
bread,avgmonth_tmp,-0.2413562405635855,0.0026661591501654434,,
exception,avgmonth_tmp,-0.23952358750069502,0.016899822535700767,,
cow,avgmonth_tmp,-0.23944754835212953,0.010497924461900359,,
pace,avgmonth_tmp,-0.23817380409232122,0.01690238405385502,,
marrow,avgmonth_tmp,-0.23688950848642681,0.0028941749549399763,,
extent,avgmonth_tmp,-0.2331265745163638,0.02410168703334023,,
attempt,avgmonth_tmp,-0.2329436812515731,0.002690820695843022,,
butter,avgmonth_tmp,-0.23236047102035282,0.033499323248381396,,
cap,avgmonth_tmp,-0.23129615290602748,0.0026335993091503246,,
introduction,avgmonth_tmp,-0.22996576724394716,NA,"Model convergence problem; non-positive-definite Hessian matrix. See vignette('troubleshooting');Model convergence problem; singular convergence (7). See vignette('troubleshooting'), help('diagnose')",
contrary,avgmonth_tmp,-0.22924655548355485,0.014613357014079073,,
layer,avgmonth_tmp,-0.22846240935423587,0.009284674217712674,,
direction,avgmonth_tmp,-0.228087139853513,2.6587998173788387e-4,,
difference,avgmonth_tmp,-0.2278018387223305,3.9820627961174594e-4,,
comparison,avgmonth_tmp,-0.22753934649357183,0.003508210338766067,,
mood,avgmonth_tmp,-0.22629233026492696,0.0515038658987708,,
description,avgmonth_tmp,-0.22494357072892687,0.011074093456712189,,
stuff,avgmonth_tmp,-0.2241433624855947,0.008699522503425875,,
shoe,avgmonth_tmp,-0.22319639109180658,0.009702869374986975,,
journey,avgmonth_tmp,-0.22312115405620284,0.05068285323610607,,
wrinkle,avgmonth_tmp,-0.221316865089684,0.026684849888295305,,
howl,avgmonth_tmp,-0.2198101935511146,0.004491301092340972,,
handkerchief,avgmonth_tmp,-0.21821160775929763,0.019015491529779986,,
hill,avgmonth_tmp,-0.21820867709174394,0.002053927232187008,,
system,avgmonth_tmp,-0.21774562596934233,0.02207718031102374,"Model convergence problem; singular convergence (7). See vignette('troubleshooting'), help('diagnose')",
bill,avgmonth_tmp,-0.2170253293462874,0.0790856198700636,,
trace,avgmonth_tmp,-0.21593161694139126,0.015060568876358864,,
plow,avgmonth_tmp,-0.21298990392423695,0.07126842694558376,,
